Country,Year,AHS Weighted Average (%),Country Growth (%)
Latin America & Caribbean,2020,5.52,
Middle East & North Africa,2020,2.37,
North America,2020,4.61,
South Asia,2020,5.84,
Sub-Saharan Africa,2020,1.99,
Aruba,2019,0.6,2.28
Afghanistan,2019,2.78,7.56
Angola,2019,0.16,-6.61
Anguila,2019,3.05,
Albania,2019,2.91,-0.28
Andorra,2019,1.02,-2.22
United Arab Emirates,2019,3.81,8.57
Argentina,2019,9.54,-13.36
Armenia,2019,5.63,2.6
American Samoa,2019,1.92,
Antarctica,2019,2.74,
Fr. So. Ant. Tr,2019,0.08,
Antigua and Barbuda,2019,0.3,-0.08
Australia,2019,5.11,-3.04
Austria,2019,12.14,-2.08
Azerbaijan,2019,0.5,9.13
Br. Antr. Terr,2019,0,
Burundi,2019,2.26,5.77
Belgium,2019,9.54,-3.19
Benin,2019,0.81,-6.3
Bonaire,2019,1.21,
Burkina Faso,2019,1.91,-1.57
Bangladesh,2019,6.97,
Bulgaria,2019,11.63,-0.21
Bahrain,2019,3.36,-5
"Bahamas, The",2019,0.79,-2.93
Bosnia and Herzegovina,2019,2.71,-2.04
Saint Barth√©lemy,2019,5.75,
Belarus,2019,4.62,1.38
Belize,2019,1.47,1.46
Bermuda,2019,0.15,2.21
Bolivia,2019,2.15,-0.88
Brazil,2019,6.94,0.08
Barbados,2019,2.92,-0.6
Brunei,2019,0.14,10.7
Bhutan,2019,6.71,
Bunkers,2019,7.33,
Bouvet Island,2019,9.98,
Botswana,2019,0.98,1.85
Central African Republic,2019,0.75,21.54
Canada,2019,4.49,-0.69
Cocos (Keeling) Islands,2019,1.67,
Switzerland,2019,3.81,-0.41
Chile,2019,5.86,-3.24
China,2019,5.44,-1.28
Cote d'Ivoire,2019,3.25,-2.25
Cameroon,2019,1.68,
"Congo, Rep.",2019,0.78,-19.79
Cook Islands,2019,8.41,
Colombia,2019,3.83,1.42
Comoros,2019,2.22,-6.41
Cape Verde,2019,1.9,-1.54
Costa Rica,2019,4.86,-1.39
Cuba,2019,23.39,
Cura√ßao,2019,3.48,
Christmas Island,2019,0.79,
Cayman Islands,2019,0.02,
Cyprus,2019,10.7,-7.86
Czech Republic,2019,5.94,-1.54
Germany,2019,7.1,-2.06
Djibouti,2019,17.19,
Dominica,2019,1.38,
Denmark,2019,8.27,-2.33
Dominican Republic,2019,3.84,3.94
Algeria,2019,0.35,
Ecuador,2019,3.6,-1.33
"Egypt, Arab Rep.",2019,2.85,-3.16
Eritrea,2019,0.02,
Western Sahara,2019,0.95,
Spain,2019,14.99,-2.01
Estonia,2019,4.4,-2.96
Ethiopia(excludes Eritrea),2019,4.92,1.81
Finland,2019,4.08,-3
Fiji,2019,16.07,0.95
Falkland Island,2019,2.12,
France,2019,21.04,-1.23
Free Zones,2019,7.68,
Faeroe Islands,2019,2.89,
"Micronesia, Fed. Sts.",2019,4.47,
Gabon,2019,0.78,
United Kingdom,2019,7.43,1.54
Georgia,2019,2.14,0.84
Ghana,2019,1.46,-6.26
Gibraltar,2019,5.28,
Guinea,2019,0.21,
"Gambia, The",2019,0.33,2.94
Guinea-Bissau,2019,0.06,
Equatorial Guinea,2019,0.44,
Greece,2019,10.42,-2.29
Grenada,2019,0.47,-3.46
Greenland,2019,1.43,
Guatemala,2019,7.85,0.58
Guam,2019,13.83,
Guyana,2019,0.57,29.5
"Hong Kong, China",2019,4.36,-3.96
Heard Island and McDonald Isla,2019,2.96,
Honduras,2019,8.01,-1.45
Croatia,2019,12.09,-0.19
Haiti,2019,4.59,
Hungary,2019,6.31,-0.02
Indonesia,2019,5.92,-4.73
India,2019,6.77,-11.97
British Indian Ocean Ter.,2019,0.12,
Ireland,2019,7.02,-3.15
"Iran, Islamic Rep.",2019,1.81,
Iraq,2019,0.03,
Iceland,2019,1.86,-7.48
Israel,2019,1.99,0
Italy,2019,17.39,-2.88
Jamaica,2019,8.37,1.76
Jordan,2019,4.83,-2.43
Japan,2019,5.21,-1.85
Kazakhstan,2019,0.7,9.12
Kenya,2019,8.92,-0.48
Kyrgyz Republic,2019,0.37,-2.91
Cambodia,2019,5.57,7.68
Kiribati,2019,2.63,
St. Kitts and Nevis,2019,1.08,
"Korea, Rep.",2019,3.08,-3.03
Kuwait,2019,0.59,-3.31
Lao PDR,2019,4.83,-0.43
Lebanon,2019,2.56,-1.88
Liberia,2019,0.44,
Libya,2019,0.05,7.82
St. Lucia,2019,0.07,-3.72
Sri Lanka,2019,6.72,
Lesotho,2019,1.48,-1.09
Lithuania,2019,37.09,-1.02
Luxembourg,2019,4.36,-0.97
Latvia,2019,7.73,-2.3
Macao,2019,10.26,3.7
Morocco,2019,4.31,-0.24
Moldova,2019,3.42,0.68
Madagascar,2019,2.39,-1.37
Maldives,2019,8.34,-1.26
Mexico,2019,8.51,-0.98
Marshall Islands,2019,0.98,
North Macedonia,2019,1.67,2.15
Mali,2019,0.3,4.54
Malta,2019,2.85,6.76
Myanmar,2019,4.5,-1.94
Mongolia,2019,2.01,2.13
Northern Mariana Islands,2019,2.94,
Montenegro,2019,0.77,-1.58
Mozambique,2019,1.33,6.1
Mauritania,2019,0.98,5.16
Montserrat,2019,0.32,-4.35
Mauritius,2019,4.86,-0.6
Malawi,2019,6.41,3.76
Malaysia,2019,2.88,-3.02
Namibia,2019,1.34,-1.23
New Caledonia,2019,1.08,
Niger,2019,1.09,2.32
Norfolk Island,2019,3.18,
Nigeria,2019,0.37,4.94
Nicaragua,2019,5.27,-2.52
Niue,2019,0.1,
Netherlands,2019,16.01,-0.6
Norway,2019,1.29,-0.74
Nepal,2019,1.35,-2.09
Nauru,2019,1.94,
New Zealand,2019,28.3,-1.63
"Other Asia, nes",2019,2.66,
Oman,2019,1.21,-4.49
Pakistan,2019,9.24,-8.78
Panama,2019,3.21,-3.3
Pitcairn,2019,8.37,
Peru,2019,2.24,-0.89
Philippines,2019,1.9,0.96
Palau,2019,2.92,
Papua New Guinea,2019,2.12,
Poland,2019,7.49,-4.01
"Korea, Dem. Rep.",2019,8.05,
Portugal,2019,21.46,-3.24
Paraguay,2019,12.44,-4.4
Occ.Pal.Terr,2019,2.66,0.56
French Polynesia,2019,2.79,-3.27
Qatar,2019,1.31,-4.05
Romania,2019,5.87,-0.63
Russian Federation,2019,1.77,1.43
Rwanda,2019,4.66,6.2
Saudi Arabia,2019,1.09,3.32
Senegal,2019,2.33,0.44
"Serbia, FR",2019,8.49,1.62
Singapore,2019,2.93,-1.57
South Georgia and the South Sa,2019,1.06,
Saint Helena,2019,0.64,
Solomon Islands,2019,1.21,
Sierra Leone,2019,0.77,
El Salvador,2019,7.9,0.6
San Marino,2019,2.03,
Somalia,2019,1.23,
Special Categories,2019,0.16,
Saint Pierre and Miquelon,2019,1.27,
South Sudan,2019,0.02,
Sao Tome and Principe,2019,0.63,-0.22
Sudan,2019,1.82,
Suriname,2019,0.35,5.87
Slovak Republic,2019,9.25,-1.12
Slovenia,2019,8.12,2.58
Sweden,2019,5.33,-3.37
Eswatini,2019,21.12,-0.68
Saint Maarten (Dutch part),2019,7.67,
Seychelles,2019,1.67,-9.24
Syrian Arab Republic,2019,10.59,
Turks and Caicos Isl.,2019,0.89,
Chad,2019,0.15,
Togo,2019,1.2,1.75
Thailand,2019,6.45,-6.72
Tajikistan,2019,3.73,2.91
Tokelau,2019,6.47,
Turkmenistan,2019,0.39,
East Timor,2019,0.3,
Tonga,2019,1.38,
Trinidad and Tobago,2019,0.99,-9.37
Tunisia,2019,3.88,-2.5
Turkey,2019,6.17,-4.61
Tuvalu,2019,0.08,
Tanzania,2019,4.01,2.89
Uganda,2019,6.7,6.94
Ukraine,2019,6.34,3.11
United States Minor Outlying I,2019,2.43,
Unspecified,2019,4.7,
Uruguay,2019,13.91,-3.71
United States,2019,5.27,-0.84
Uzbekistan,2019,1.09,12.38
Holy See,2019,0.78,
St. Vincent and the Grenadines,2019,0.2,-2.64
Venezuela,2019,0.44,
British Virgin Islands,2019,0.61,
Vietnam,2019,5.4,3.44
Vanuatu,2019,4.56,
 World,2019,4.46,-1.73
Wallis and Futura Isl.,2019,0.14,
Samoa,2019,19.38,3.76
Yemen,2019,0.47,19.38
South Africa,2019,4.83,-2.51
"Congo, Dem. Rep.",2019,1.98,5.49
Zambia,2019,1.51,-13.08
Zimbabwe,2019,5.24,-13.85
East Asia & Pacific,2019,4.47,
Europe & Central Asia,2019,5.77,
Latin America & Caribbean,2019,5.01,
Middle East & North Africa,2019,1.86,
North America,2019,4.79,
South Asia,2019,6.4,
Sub-Saharan Africa,2019,2.21,
Aruba,2018,0.18,2.52
Afghanistan,2018,2.15,-2.51
Angola,2018,0.13,1.75
Anguila,2018,3.94,
Albania,2018,2.86,6.06
Andorra,2018,1.71,4.34
Netherlands Antilles,2018,,
United Arab Emirates,2018,3.65,-2.56
Argentina,2018,11.18,-1.1
Armenia,2018,3.17,11.14
American Samoa,2018,6.91,
Antarctica,2018,2.37,
Fr. So. Ant. Tr,2018,0.22,
Antigua and Barbuda,2018,0.11,-4.94
Australia,2018,4.18,1.56
Austria,2018,4.69,5.19
Azerbaijan,2018,0.28,14.33
Br. Antr. Terr,2018,0,
Burundi,2018,1.58,0.65
Belgium,2018,5.46,5.43
Benin,2018,1.25,2.07
Bonaire,2018,0.2,
Burkina Faso,2018,0.6,5.59
Bangladesh,2018,6.85,
Bulgaria,2018,26.15,5.21
Bahrain,2018,3.26,8.83
"Bahamas, The",2018,0.67,0.67
Bosnia and Herzegovina,2018,2.64,5.37
Saint Barth√©lemy,2018,6.03,
Belarus,2018,4.12,5.92
Belize,2018,1.69,2.41
Bermuda,2018,1.26,-0.38
Bolivia,2018,0.81,3.32
Brazil,2018,10.61,7.83
Barbados,2018,3.12,0.01
Brunei,2018,0.06,16.19
Bhutan,2018,0.19,
Bunkers,2018,5.96,
Bouvet Island,2018,0.61,
Botswana,2018,1.07,8.91
Central African Republic,2018,0.45,-4.19
Canada,2018,4.43,3.06
Cocos (Keeling) Islands,2018,2.61,
Switzerland,2018,3.28,2.07
Chile,2018,2.14,7
China,2018,5.57,7.57
Cote d'Ivoire,2018,2.56,6.82
Cameroon,2018,1.6,-23.09
"Congo, Rep.",2018,0.52,-12.57
Cook Islands,2018,4.22,
Colombia,2018,3.54,5.47
Comoros,2018,2.36,4.8
Cape Verde,2018,0.66,1.31
Costa Rica,2018,4.69,0.64
Cuba,2018,17.7,
Cura√ßao,2018,4.21,
Christmas Island,2018,0.97,
Cayman Islands,2018,0.08,
Cyprus,2018,11.12,7.78
Czech Republic,2018,4.71,6.55
Germany,2018,6.08,7.45
Djibouti,2018,17.71,
Dominica,2018,3.95,
Denmark,2018,6.67,5.07
Dominican Republic,2018,4.35,2
Algeria,2018,0.52,
Ecuador,2018,3.67,8.07
"Egypt, Arab Rep.",2018,2.83,11.12
Eritrea,2018,0.06,
Western Sahara,2018,3.3,
Spain,2018,6.38,7.02
Estonia,2018,3.51,6.83
Ethiopia(excludes Eritrea),2018,12.8,-2.48
Finland,2018,4.03,5.72
Fiji,2018,10.12,6.5
Falkland Island,2018,2.88,
France,2018,7.08,3.7
Free Zones,2018,6.59,
Faeroe Islands,2018,2.8,
"Micronesia, Fed. Sts.",2018,5.27,
Gabon,2018,1.3,
United Kingdom,2018,5.75,2.37
Georgia,2018,1.41,7.79
Ghana,2018,1.09,-3.35
Gibraltar,2018,5.62,
Guinea,2018,0.12,
"Gambia, The",2018,2.27,0.6
