Country,Year,World Growth (%),Country Growth (%),Export (US$ Thousand)
Latvia,2020,-1.28,-1.28,20185506.82
Macao,2020,-0.31,-0.31,10178404.19
Morocco,2020,-6.61,-6.61,61896309.75
Moldova,2020,-3.72,-3.72,8480718.92
Madagascar,2020,-9.21,-9.21,3481995.02
Maldives,2020,,,1575721.4
Mexico,2020,-8.28,-8.28,382451627.9
Marshall Islands,2020,,,16870974.55
North Macedonia,2020,-3.98,-3.98,12430848.88
Mali,2020,,,5886052.72
Malta,2020,-16.42,-16.42,14756868.2
Myanmar,2020,-1.75,-1.75,26749965.59
Mongolia,2020,-7.01,-7.01,5175689.37
Northern Mariana Islands,2020,,,118995.74
Montenegro,2020,-9.27,-9.27,3560841.65
Mozambique,2020,-8.2,-8.2,11756111.68
Mauritania,2020,-11.7,-11.7,3702025.26
Montserrat,2020,-2.97,-2.97,20889.78
Mauritius,2020,-13.16,-13.16,4395399.24
Malawi,2020,-3.77,-3.77,1510049.61
Malaysia,2020,-3.63,-3.63,210912634.5
Namibia,2020,-8.14,-8.14,4561563.82
New Caledonia,2020,,,3290657.64
Niger,2020,4.55,4.55,1971476.43
Norfolk Island,2020,,,49252.04
Nigeria,2020,8.2,8.2,53327809.17
Nicaragua,2020,-3.2,-3.2,5804587.96
Niue,2020,,,23796.16
Netherlands,2020,-3.03,-3.03,544793978.5
Norway,2020,-2.66,-2.66,131202726.5
Nepal,2020,-11.08,-11.08,8370443.22
Nauru,2020,,,117513.38
New Zealand,2020,-7.02,-7.02,38148805.51
"Other Asia, nes",2020,,,287636089.4
Oman,2020,10.12,10.12,31661015.01
Pakistan,2020,-4.38,-4.38,49371497.74
Panama,2020,-17.24,-17.24,37018737.11
Pitcairn,2020,,,3463.63
Peru,2020,-7.75,-7.75,36639066.15
Philippines,2020,-9.95,-9.95,122722239.3
Palau,2020,,,104277.63
Papua New Guinea,2020,,,4043082.4
Poland,2020,1.61,1.61,265790136.5
"Korea, Dem. Rep.",2020,,,561595.8
Portugal,2020,-6.74,-6.74,73788406.91
Paraguay,2020,-8.44,-8.44,8362444.52
Occ.Pal.Terr,2020,-4.25,-4.25,1233839.95
French Polynesia,2020,-10.06,-10.06,2158320.56
Qatar,2020,-5.9,-5.9,35816696.31
Romania,2020,-2.4,-2.4,87701950.33
Russian Federation,2020,-3.19,-3.19,304069412
Rwanda,2020,7.8,7.8,1845249.59
Saudi Arabia,2020,-4.62,-4.62,158941990
Fm Sudan,2020,,,77702.75
Senegal,2020,-2.05,-2.05,13613822.11
"Serbia, FR",2020,-0.94,-0.94,42487854.96
Singapore,2020,-4.32,-4.32,312681362.5
South Georgia and the South Sa,2020,,,763.46
Saint Helena,2020,,,62382.78
Solomon Islands,2020,,,367433.2
Sierra Leone,2020,,,1396318.78
El Salvador,2020,-7.68,-7.68,9501529.89
San Marino,2020,,,545027.1
Somalia,2020,,,4623894.06
Special Cate.,2020,,,69303332.43
Saint Pierre and Miquelon,2020,,,134511.23
South Sudan,2020,,,1174395.1
Sao Tome and Principe,2020,-3.31,-3.31,185747.93
Sudan,2020,,,9620170.09
Suriname,2020,-5.35,-5.35,1575547.08
Slovak Republic,2020,-3.31,-3.31,75254381.49
Slovenia,2020,-2.18,-2.18,40361707.75
Sweden,2020,-3.04,-3.04,135863018.5
Eswatini,2020,-6.4,-6.4,1413897.57
Saint Maarten,2020,,,593477.16
Seychelles,2020,1.94,1.94,1094884.31
Syrian Arab Republic,2020,,,5209819.12
Turks and Caicos Isl.,2020,,,327798.79
Chad,2020,,,1282327.93
Togo,2020,10.24,10.24,12684301.58
Thailand,2020,-2.12,-2.12,197955677.8
Tajikistan,2020,-2.87,-2.87,3731965.04
Tokelau,2020,,,13847.44
Turkmenistan,2020,,,3809394.78
East Timor,2020,,,628446.06
Tonga,2020,,,191203.1
Trinidad and Tobago,2020,-12.29,-12.29,5923317.34
Tunisia,2020,-7.53,-7.53,26670711.95
Turkey,2020,2.16,2.16,269107735.8
Tuvalu,2020,,,110252.06
Tanzania,2020,-3.02,-3.02,13282129.51
Uganda,2020,3.54,3.54,5288354.87
Ukraine,2020,-6.04,-6.04,78367530.42
United States Minor Outlying I,2020,,,1562184.42
Unspecified,2020,,,483306588
Uruguay,2020,-4.22,-4.22,10455605.85
United States,2020,-3.21,-3.21,2702692879
Uzbekistan,2020,-4.32,-4.32,22058465.21
Holy See,2020,,,85668.14
St. Vincent and the Grenadines,2020,-2.12,-2.12,295517.45
Venezuela,2020,,,7341821.34
British Virgin Islands,2020,,,1694743.85
Vietnam,2020,1.54,1.54,293843823
Vanuatu,2020,,,310449.78
 World,2020,-3.75,-3.75,19307194523
Wallis and Futura Isl.,2020,,,59915.36
Samoa,2020,,,367853.52
Yemen,2020,,,11846347.21
South Africa,2020,-11.51,-11.51,90196295.61
"Congo, Dem. Rep.",2020,-13.11,-13.11,8362045.33
Zambia,2020,-14.17,-14.17,5513594.76
Zimbabwe,2020,2.68,2.68,4089261.59
East Asia & Pacific,2020,,,5269831185
Europe & Central Asia,2020,,,7182502794
Latin America & Caribbean,2020,,,975918060.8
Middle East & North Africa,2020,,,975034134.3
North America,2020,,,3148888437
South Asia,2020,,,466079712
Sub-Saharan Africa,2020,,,386040684.7
Aruba,2019,2.28,2.28,1473491.89
Afghanistan,2019,7.56,7.56,7543536.03
Angola,2019,-6.61,-6.61,12645502.84
Anguila,2019,,,189470.77
Albania,2019,-0.28,-0.28,9017287.05
Andorra,2019,-2.22,-2.22,2938273.85
United Arab Emirates,2019,8.57,8.57,250642135.1
Argentina,2019,-13.36,-13.36,53246303.41
Armenia,2019,2.6,2.6,4867667.93
American Samoa,2019,,,179252.61
Antarctica,2019,,,71817.64
Fr. So. Ant. Tr,2019,,,52161.49
Antigua and Barbuda,2019,-0.08,-0.08,1404663.83
Australia,2019,-3.04,-3.04,238521519.4
Austria,2019,-2.08,-2.08,168973574.3
Azerbaijan,2019,9.13,9.13,16561176.78
Br. Antr. Terr,2019,,,0
Burundi,2019,5.77,5.77,644110.58
Belgium,2019,-3.19,-3.19,377928034.2
Benin,2019,-6.3,-6.3,5926415.08
Bonaire,2019,,,611554.63
Burkina Faso,2019,-1.57,-1.57,3916796.26
Bangladesh,2019,,,61763284.49
Bulgaria,2019,-0.21,-0.21,36067812.03
Bahrain,2019,-5,-5,16884037.34
"Bahamas, The",2019,-2.93,-2.93,11734329.24
Bosnia and Herzegovina,2019,-2.04,-2.04,16329844.56
Saint Barth√©lemy,2019,,,232961.12
Belarus,2019,1.38,1.38,42183156.91
Belize,2019,1.46,1.46,1192910.93
Bermuda,2019,2.21,2.21,1529519.56
Bolivia,2019,-0.88,-0.88,7528954.9
Brazil,2019,0.08,0.08,216386156.8
Barbados,2019,-0.6,-0.6,1593268.73
Brunei,2019,10.7,10.7,4251197.39
Bhutan,2019,,,860131.58
Bunkers,2019,,,58130606.17
Bouvet Island,2019,,,438.49
Botswana,2019,1.85,1.85,6825863.49
Central African Republic,2019,21.54,21.54,506636.61
Canada,2019,-0.69,-0.69,497600369.9
Cocos (Keeling) Islands,2019,,,8063.53
Switzerland,2019,-0.41,-0.41,453574481.8
Chile,2019,-3.24,-3.24,79030818.34
China,2019,-1.28,-1.28,1924374507
Cote d'Ivoire,2019,-2.25,-2.25,13043484.51
Cameroon,2019,,,7659397.58
"Congo, Rep.",2019,-19.79,-19.79,3136592.71
Cook Islands,2019,,,241118.89
Colombia,2019,1.42,1.42,57838832.16
Comoros,2019,-6.41,-6.41,390202.67
Cape Verde,2019,-1.54,-1.54,1618804.08
Costa Rica,2019,-1.39,-1.39,15357292.04
Cuba,2019,,,8260018.54
Cura√ßao,2019,,,1567516.43
Christmas Island,2019,,,27061.08
Cayman Islands,2019,,,7239117.64
Cyprus,2019,-7.86,-7.86,12608996.64
Czech Republic,2019,-1.54,-1.54,162536649
Germany,2019,-2.06,-2.06,1138191259
Djibouti,2019,,,5626215.92
Dominica,2019,,,703034.49
Denmark,2019,-2.33,-2.33,95855554.82
Dominican Republic,2019,3.94,3.94,21435756.21
Algeria,2019,,,61389191.01
Ecuador,2019,-1.33,-1.33,23098677.94
"Egypt, Arab Rep.",2019,-3.16,-3.16,95663549.91
Eritrea,2019,,,460099.34
Western Sahara,2019,,,22112.38
Spain,2019,-2.01,-2.01,342330705.6
Estonia,2019,-2.96,-2.96,19968395.35
Ethiopia(excludes Eritrea),2019,1.81,1.81,12354855.16
Finland,2019,-3,-3,71016318.19
Fiji,2019,0.95,0.95,2800417.88
Falkland Island,2019,,,191507.03
France,2019,-1.23,-1.23,618372609.4
Free Zones,2019,,,3086820.52
Faeroe Islands,2019,,,2218669.38
"Micronesia, Fed. Sts.",2019,,,131075.52
Gabon,2019,,,3264998.13
United Kingdom,2019,1.54,1.54,657724413.6
Georgia,2019,0.84,0.84,12208378.78
Ghana,2019,-6.26,-6.26,20300736.34
Gibraltar,2019,,,14272137.7
Guinea,2019,,,5521103.55
"Gambia, The",2019,2.94,2.94,1667081.93
Guinea-Bissau,2019,,,493470.48
Equatorial Guinea,2019,,,1497484.77
Greece,2019,-2.29,-2.29,59247267.67
Grenada,2019,-3.46,-3.46,433393.31
Greenland,2019,,,1926296.26
Guatemala,2019,0.58,0.58,18753887.46
Guam,2019,,,1140344.69
Guyana,2019,29.5,29.5,2222251.11
"Hong Kong, China",2019,-3.96,-3.96,638854934.5
Heard Island and McDonald Isla,2019,,,429.83
Honduras,2019,-1.45,-1.45,12518780.95
Croatia,2019,-0.19,-0.19,29135612.61
Haiti,2019,,,4436429.93
Hungary,2019,-0.02,-0.02,112638817.6
Indonesia,2019,-4.73,-4.73,173708752.8
India,2019,-11.97,-11.97,412938399.6
British Indian Ocean Ter.,2019,,,80324.9
Ireland,2019,-3.15,-3.15,79189338.5
"Iran, Islamic Rep.",2019,,,41276470.18
Iraq,2019,,,55920525.8
Iceland,2019,-7.48,-7.48,9246712.86
Israel,2019,0,0,96920323.01
Italy,2019,-2.88,-2.88,462233086
Jamaica,2019,1.76,1.76,5871759.45
Jordan,2019,-2.43,-2.43,24090821.77
Japan,2019,-1.85,-1.85,654804747.4
Kazakhstan,2019,9.12,9.12,50860585.27
Kenya,2019,-0.48,-0.48,20463750.43
Kyrgyz Republic,2019,-2.91,-2.91,11654261.48
Cambodia,2019,7.68,7.68,29227312.37
Kiribati,2019,,,108465.26
St. Kitts and Nevis,2019,,,407484.4
"Korea, Rep.",2019,-3.03,-3.03,484505254.2
Kuwait,2019,-3.31,-3.31,40016930.97
Lao PDR,2019,-0.43,-0.43,6823449.29
Lebanon,2019,-1.88,-1.88,23592172.26
Liberia,2019,,,13220871.24
Libya,2019,7.82,7.82,20701874.15
St. Lucia,2019,-3.72,-3.72,4181197.24
Sri Lanka,2019,,,19715568.76
Lesotho,2019,-1.09,-1.09,1552744.94
Lithuania,2019,-1.02,-1.02,31223873.77
Luxembourg,2019,-0.97,-0.97,26635646.15
Latvia,2019,-2.3,-2.3,23097637.09
Macao,2019,3.7,3.7,13932436.01
Morocco,2019,-0.24,-0.24,71067611.05
Moldova,2019,0.68,0.68,9415222.69
Madagascar,2019,-1.37,-1.37,4259408.09
Maldives,2019,-1.26,-1.26,2607083.17
Mexico,2019,-0.98,-0.98,455179179.9
Marshall Islands,2019,,,13165281.71
North Macedonia,2019,2.15,2.15,15393570.64
Mali,2019,4.54,4.54,5457986.66
Malta,2019,6.76,6.76,18457620.42
Myanmar,2019,-1.94,-1.94,27595532.25
Mongolia,2019,2.13,2.13,6256325.24
Northern Mariana Islands,2019,,,178054.15
Montenegro,2019,-1.58,-1.58,4449827.56
Mozambique,2019,6.1,6.1,13159658.14
Mauritania,2019,5.16,5.16,4161358.62
